place,time,open,max,min,close,volume,money,weight
SH600000,7/1/2015 10:00,137.3544,137.5181,137.1088,137.3544,8195,13747712,8.1856
SH600000,7/1/2015 10:01,137.2725,137.3544,137.1088,137.2725,8816,14783360,8.1856
SH600000,7/1/2015 10:02,137.3544,137.4362,137.1907,137.2725,5951,9981696,8.1856
SH600000,7/1/2015 10:03,137.3544,137.3544,137.1088,137.1088,16400,27510656,8.1856
SH600000,7/1/2015 10:04,137.1088,137.1907,137.0269,137.0269,7053,11814912,8.1856
SH600000,7/1/2015 10:05,137.0269,137.0269,136.7814,136.8632,15521,25963776,8.1856
SH600000,7/1/2015 10:06,136.8632,137.0269,136.8632,137.0269,9839,16456704,8.1856
SH600000,7/1/2015 10:07,137.0269,137.2725,136.9451,137.1088,4910,8224768,8.1856
SH600000,7/1/2015 10:08,137.0269,137.4362,136.7814,136.8632,20701,34649600,8.1856
SH600000,7/1/2015 10:09,136.8632,136.9451,136.7814,136.7814,10546,17622144,8.1856
SH600000,7/1/2015 10:10,136.6995,136.7814,136.5358,136.6177,19591,32713088,8.1856
SH600000,7/1/2015 10:11,136.6177,136.6177,136.3721,136.5358,10033,16731264,8.1856
SH600000,7/1/2015 10:12,136.454,136.5358,136.2902,136.454,11722,19532160,8.1856
SH600000,7/1/2015 10:13,136.454,136.5358,136.3721,136.3721,19675,32780800,8.1856
SH600000,7/1/2015 10:14,136.3721,136.3721,136.0447,136.1265,12538,20859392,8.1856
SH600000,7/1/2015 10:15,136.1265,136.2902,136.0447,136.2902,8246,13720064,8.1856
SH600000,7/1/2015 10:16,136.2902,136.6995,136.2902,136.6995,6152,10264448,8.1856
SH600000,7/1/2015 10:17,136.6995,137.1088,136.2902,136.454,15126,25244032,8.1856
SH600000,7/1/2015 10:18,136.2902,136.5358,136.2902,136.454,8904,14830976,8.1856
SH600000,7/1/2015 10:19,136.3721,136.5358,136.0447,136.2084,15679,26093056,8.1856
SH600000,7/1/2015 10:20,136.2084,136.5358,136.2084,136.2902,5872,9785088,8.1856
SH600000,7/1/2015 10:21,136.2902,136.5358,136.2084,136.3721,9165,15272192,8.1856
SH600000,7/1/2015 10:22,136.454,136.5358,136.3721,136.454,3647,6078976,8.1856
SH600000,7/1/2015 10:23,136.5358,136.6177,136.454,136.454,9178,15303808,8.1856
SH600000,7/1/2015 10:24,136.454,136.6995,136.454,136.6995,10059,16778112,8.1856
SH600000,7/1/2015 10:25,136.6995,136.8632,136.6177,136.6995,6604,11030912,8.1856
SH600000,7/1/2015 10:26,136.7814,137.1907,136.6995,137.1907,10589,17704704,8.1856
SH600000,7/1/2015 10:27,137.1088,137.1907,136.7814,136.9451,5395,9025024,8.1856
SH600000,7/1/2015 10:28,136.7814,137.1088,136.6995,136.9451,6997,11698432,8.1856
SH600000,7/1/2015 10:29,136.9451,136.9451,136.8632,136.8632,4102,6860800,8.1856
SH600000,7/1/2015 10:30,136.8632,136.9451,136.7814,136.9451,3050,5099008,8.1856
SH600000,7/1/2015 10:31,136.8632,136.9451,136.7814,136.8632,3600,6019072,8.1856
SH600000,7/1/2015 10:32,136.9451,137.0269,136.6995,136.7814,5663,9465856,8.1856
SH600000,7/1/2015 10:33,137.0269,137.0269,136.7814,136.8632,6023,10076160,8.1856
SH600000,7/1/2015 10:34,136.8632,137.0269,136.6995,136.7814,9482,15848832,8.1856
SH600000,7/1/2015 10:35,136.6995,136.8632,136.5358,136.6177,5124,8558080,8.1856
SH600000,7/1/2015 10:36,136.6995,137.0269,136.6177,136.7814,3304,5522944,8.1856
